Table 5: Components of the Index of Consumer Sentiment
Month,Year,Personal Finance Current,Personal Finance Expected,Business Condition 12 Months,Business Condition 5 Years,Buying Conditions,Current Index,Expected Index,
1,2000,135,141,165,133,169,117.3,108.6,
2,2000,132,138,161,136,172,116.8,107.8,
3,2000,135,136,146,128,165,115.4,101.7,
4,2000,130,137,152,130,176,117.8,103.7,
5,2000,138,137,153,133,173,119.9,104.8,
6,2000,129,137,146,123,170,115.1,100.8,
7,2000,130,139,148,135,167,114.2,104.5,
8,2000,126,139,151,130,166,112.4,104,
9,2000,124,132,149,136,167,112,103.4,
10,2000,129,132,143,132,166,113.6,100.7,
11,2000,133,137,142,131,170,116.9,101.6,
12,2000,126,131,121,113,161,110.5,90.7,
1,2001,123,126,106,115,157,107.7,86.4,
2,2001,122,129,93,102,152,105.8,80.8,
3,2001,119,131,97,109,148,103.4,83.9,
4,2001,110,134,92,104,143,98,82.2,
5,2001,112,129,99,115,152,102.2,85.4,
6,2001,117,126,114,109,146,101.6,86.9,
7,2001,114,133,115,107,141,98.6,88.4,
8,2001,118,127,102,113,144,101.2,85.2,
9,2001,108,128,71,95,136,94.6,73.5,
10,2001,107,128,77,98,136,94,75.5,
11,2001,107,134,76,97,140,95.3,76.6,
12,2001,108,138,86,106,148,99,82.3,
1,2002,105,141,111,115,143,95.7,91.3,
2,2002,106,137,106,107,143,96.2,87.2,
3,2002,113,135,120,117,147,100.4,92.7,
4,2002,113,134,115,109,144,99.2,89.1,
5,2002,110,136,121,116,159,103.5,92.7,
6,2002,103,138,113,102,155,99.5,87.9,
7,2002,106,133,91,100,151,99.3,81,
8,2002,110,131,95,97,146,98.5,80.6,
9,2002,103,130,100,91,145,95.8,79.9,
10,2002,99,132,74,87,140,92.4,73.1,
11,2002,97,129,93,92,143,93.1,78.5,
12,2002,104,135,91,97,144,96,80.8,
1,2003,107,126,80,86,145,97.2,72.8,
2,2003,102,127,66,86,145,95.4,69.9,
3,2003,96,128,63,87,136,90,69.6,
4,2003,111,131,87,99,139,96.4,79.3,
5,2003,97,138,120,110,144,93.2,91.4,
6,2003,102,136,111,100,143,94.7,86.4,
7,2003,110,135,106,95,155,102.1,83.7,
8,2003,109,124,111,97,150,99.7,82.5,
9,2003,106,133,97,94,148,98.4,80.8,
10,2003,111,127,108,98,148,99.9,83,
11,2003,107,128,122,104,158,102.5,88.1,
12,2003,105,122,128,112,146,97,89.8,
1,2004,119,136,143,124,165,109.5,100.1,
2,2004,111,128,118,110,157,103.6,88.5,
3,2004,114,134,116,107,163,106.8,88.8,
4,2004,113,132,116,103,159,105,87.3,
