Table 32: Expected Change in Prices During the Next Year
Month,Year,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard Deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th),
1,2008,4,10,16,23,19,4,11,1,12,0,4,12,3.5,1.8,3.4,5.2,3.4,
2,2008,6,10,15,19,22,5,10,2,10,1,3.9,19,4.3,1.7,3.6,5.3,3.6,
3,2008,4,7,14,22,21,5,14,3,10,0,4.6,20,4.4,2.3,4.3,5.5,3.1,
4,2008,5,5,10,19,20,5,16,8,11,1,5.7,26,5.1,2.7,4.8,9.7,7,
5,2008,2,3,7,17,21,7,19,11,13,0,7,29,5.4,3.3,5.2,10,6.6,
6,2008,3,5,5,17,22,7,16,10,14,1,6.5,32,5.7,3.2,5.1,9.9,6.6,
7,2008,3,5,8,16,21,7,19,8,12,1,6.3,28,5.3,3.1,5.1,9.8,6.7,
8,2008,3,10,8,18,23,9,10,6,11,2,5.3,24,4.9,2.7,4.8,7,4.3,
9,2008,5,14,12,16,18,7,13,5,9,1,4.6,24,4.9,1.5,4.3,6.9,5.4,
10,2008,8,16,8,15,17,4,13,5,13,1,4.3,27,5.2,0.8,3.9,7.1,6.3,
11,2008,17,22,6,13,16,3,11,4,6,2,2.9,37,6.1,-0.2,2.9,5.3,5.5,
12,2008,23,25,6,12,15,4,7,3,5,0,1.7,33,5.8,-0.4,1.7,4.9,5.4,
1,2009,15,27,7,12,13,3,9,3,9,2,2.5,33,5.8,-0.1,2.2,5.1,5.2,
2,2009,20,26,5,10,12,3,9,5,9,1,2.3,42,6.5,-0.3,1.9,5.2,5.5,
3,2009,16,25,8,10,13,5,9,3,10,1,2.4,32,5.7,-0.2,2,5.2,5.3,
4,2009,10,27,7,13,17,5,7,5,7,2,3.1,31,5.5,-0.2,2.8,5.2,5.4,
5,2009,9,24,9,17,15,2,9,4,10,1,3.2,27,5.2,0.1,2.8,5.1,4.9,
6,2009,6,19,12,19,15,4,10,4,10,1,3.9,28,5.3,0.5,3.1,5.3,4.8,
7,2009,8,21,13,16,13,4,11,4,9,1,3.6,28,5.2,0.3,2.9,5.3,5,
8,2009,8,26,9,17,17,5,6,3,8,1,3,23,4.8,0.1,2.8,5,4.9,
9,2009,8,28,14,15,12,4,8,3,7,1,2.8,24,4.9,0.1,2.2,4.9,4.8,
10,2009,7,22,13,20,17,4,9,2,5,1,3.2,20,4.5,0.3,2.9,5,4.7,
11,2009,8,22,15,16,16,5,8,2,7,1,3.1,21,4.6,0.3,2.7,5,4.8,
12,2009,8,24,15,16,14,2,8,3,8,2,3,20,4.5,0.2,2.5,4.9,4.7,
1,2010,5,23,14,17,15,4,12,1,8,1,3.4,19,4.4,0.3,2.8,5.2,4.8,
2,2010,3,25,17,18,12,3,11,3,8,0,3.6,21,4.5,0.4,2.7,5.1,4.7,
3,2010,3,22,20,17,17,4,6,3,7,1,3.4,20,4.5,0.5,2.7,5,4.5,
4,2010,4,15,19,22,14,4,8,5,9,0,3.8,20,4.5,1.1,2.9,5.1,4,
5,2010,2,18,17,21,16,4,11,3,8,0,4.1,17,4.1,1.4,3.2,5.2,3.9,
6,2010,4,21,18,23,15,2,7,3,7,0,3.3,16,4,0.5,2.8,4.8,4.3,
7,2010,5,21,17,19,14,5,7,2,9,1,3.3,15,3.9,0.4,2.7,5,4.6,
8,2010,5,22,17,20,15,4,8,2,7,0,3.2,18,4.2,0.4,2.7,4.9,4.5,
